TIME,moduletemperature_forecast,SITE,COUNTRY,STATE,CUSTOMER,YEAR,MONTH,DATE,Actual_moduletemperature,Hour-Min,Month-Date
2019-02-17 00:00,14.76865278,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,15,00:00:00,2-17
2019-02-17 00:10,14.43244431,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,15,00:10:00,2-17
2019-02-17 00:20,13.56296256,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,15,00:20:00,2-17
2019-02-17 00:30,13.3712148,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,15,00:30:00,2-17
2019-02-17 00:40,14.15539757,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,14.4,00:40:00,2-17
2019-02-17 00:50,13.68928481,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,14,00:50:00,2-17
2019-02-17 01:00,13.03525262,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,14,01:00:00,2-17
2019-02-17 01:10,12.40364338,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,14,01:10:00,2-17
2019-02-17 01:20,12.34116236,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,14,01:20:00,2-17
2019-02-17 01:30,12.28599008,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,13.2,01:30:00,2-17
2019-02-17 01:40,11.92568752,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,13,01:40:00,2-17
2019-02-17 01:50,11.36961831,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,12.6,01:50:00,2-17
2019-02-17 02:00,11.34321496,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,12.2,02:00:00,2-17
2019-02-17 02:10,11.1227207,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,12,02:10:00,2-17
2019-02-17 02:20,11.09310067,Lexicon,INDIA,Gujarat,Vikram,2019,2,17,12,02:20:00,2-17
